#{"t_start": 1783939079.113693, "env_id": "CartPole-v1"}
r,l,t
26.0,26,0.978369
13.0,13,0.980701
22.0,22,0.985165
12.0,12,0.987326
18.0,18,0.99038
35.0,35,0.996652
25.0,25,1.000916
36.0,36,1.007962
15.0,15,1.01071
33.0,33,1.016698
14.0,14,1.019189
38.0,38,1.026107
21.0,21,1.030028
8.0,8,1.031453
44.0,44,1.039783
17.0,17,1.042829
27.0,27,1.047773
27.0,27,1.052252
14.0,14,1.054957
20.0,20,1.058677
16.0,16,1.061402
18.0,18,1.064379
14.0,14,1.067109
52.0,52,1.075867
37.0,37,1.082242
23.0,23,1.086293
18.0,18,1.089374
19.0,19,1.092789
33.0,33,1.098521
15.0,15,1.101082
14.0,14,1.103402
21.0,21,1.107224
13.0,13,1.10941
13.0,13,1.111605
14.0,14,1.11393
16.0,16,1.116991
23.0,23,1.120969
16.0,16,1.123836
22.0,22,1.127667
23.0,23,1.131515
18.0,18,1.134648
22.0,22,1.138521
27.0,27,1.143076
29.0,29,1.148314
27.0,27,1.152758
20.0,20,1.156501
15.0,15,1.159224
22.0,22,1.162906
34.0,34,1.168739
14.0,14,1.171859
11.0,11,1.173732
11.0,11,1.175586
16.0,16,1.178267
21.0,21,1.182254
13.0,13,1.184582
30.0,30,1.189589
24.0,24,1.194018
9.0,9,1.195747
10.0,10,1.197431
19.0,19,1.200976
31.0,31,1.206513
13.0,13,1.208711
10.0,10,1.210817
17.0,17,1.214143
46.0,46,1.222486
68.0,68,1.234303
21.0,21,1.237794
15.0,15,1.240296
36.0,36,1.246771
16.0,16,1.249425
12.0,12,1.251697
13.0,13,1.253996
16.0,16,1.257037
22.0,22,1.260828
26.0,26,1.265316
81.0,81,1.279664
31.0,31,1.285404
31.0,31,1.290753
16.0,16,1.293467
11.0,11,1.295724
49.0,49,1.305238
14.0,14,1.307876
15.0,15,1.310476
20.0,20,1.313892
15.0,15,1.316537
26.0,26,1.320941
19.0,19,1.324091
10.0,10,1.326262
15.0,15,1.328952
24.0,24,1.333193
19.0,19,1.336391
70.0,70,1.887366
21.0,21,1.891627
17.0,17,1.894581
37.0,37,1.900957
27.0,27,1.905442
58.0,58,1.915485
21.0,21,1.919294
17.0,17,1.9222
34.0,34,1.927958
19.0,19,1.931101
10.0,10,1.932877
10.0,10,1.934567
27.0,27,1.939018
20.0,20,1.942511
42.0,42,1.949402
16.0,16,1.952251
34.0,34,1.958254
14.0,14,1.960961
17.0,17,1.964
22.0,22,1.967773
57.0,57,1.977435
16.0,16,1.980157
30.0,30,1.985351
34.0,34,1.990876
17.0,17,1.993665
48.0,48,2.00167
21.0,21,2.005252
15.0,15,2.007949
27.0,27,2.012843
26.0,26,2.017315
29.0,29,2.022507
33.0,33,2.028207
56.0,56,2.037765
24.0,24,2.041898
16.0,16,2.044661
31.0,31,2.049923
41.0,41,2.057176
13.0,13,2.059333
25.0,25,2.063875
15.0,15,2.06657
57.0,57,2.076198
31.0,31,2.081409
35.0,35,2.087276
68.0,68,2.098791
10.0,10,2.100519
25.0,25,2.104676
10.0,10,2.106357
29.0,29,2.111486
17.0,17,2.114337
46.0,46,2.122108
28.0,28,2.126956
19.0,19,2.130148
12.0,12,2.132334
13.0,13,2.134625
18.0,18,2.137698
80.0,80,2.151129
50.0,50,2.159672
24.0,24,2.163763
46.0,46,2.171647
24.0,24,2.175805
22.0,22,2.179457
36.0,36,2.185448
43.0,43,2.192566
12.0,12,2.194583
71.0,71,2.206375
46.0,46,2.214127
60.0,60,2.224404
13.0,13,2.226683
55.0,55,2.721518
17.0,17,2.724953
13.0,13,2.727276
66.0,66,2.738632
25.0,25,2.742974
31.0,31,2.748265
118.0,118,2.768597
55.0,55,2.777883
48.0,48,2.786112
56.0,56,2.795492
50.0,50,2.803783
16.0,16,2.806457
25.0,25,2.810744
44.0,44,2.818095
37.0,37,2.824295
107.0,107,2.841938
12.0,12,2.843992
30.0,30,2.849038
31.0,31,2.854195
61.0,61,2.864639
48.0,48,2.873062
122.0,122,2.893663
21.0,21,2.897107
54.0,54,2.906563
88.0,88,2.921907
28.0,28,2.926499
54.0,54,2.935932
49.0,49,2.944424
55.0,55,2.953405
29.0,29,2.958143
83.0,83,2.973334
18.0,18,2.976342
72.0,72,2.988687
30.0,30,2.993989
39.0,39,3.000662
112.0,112,3.019983
16.0,16,3.022614
52.0,52,3.032134
59.0,59,3.042929
107.0,107,3.061353
13.0,13,3.063521
42.0,42,3.587361
41.0,41,3.594538
12.0,12,3.596664
31.0,31,3.602189
136.0,136,3.625162
101.0,101,3.642126
143.0,143,3.665914
25.0,25,3.670059
36.0,36,3.676146
89.0,89,3.691327
42.0,42,3.698353
63.0,63,3.708963
77.0,77,3.721746
153.0,153,3.747119
29.0,29,3.752097
99.0,99,3.76874
33.0,33,3.774431
36.0,36,3.780561
87.0,87,3.795487
107.0,107,3.813482
26.0,26,3.818219
34.0,34,3.824157
140.0,140,3.848894
52.0,52,3.857881
98.0,98,3.874724
51.0,51,3.883711
32.0,32,3.889433
117.0,117,3.909263
11.0,11,3.911179
166.0,166,4.437461
212.0,212,4.474752
120.0,120,4.495308
167.0,167,4.52425
243.0,243,4.565651
209.0,209,4.602491
104.0,104,4.619951
173.0,173,4.649499
187.0,187,4.681144
49.0,49,4.689368
83.0,83,4.703504
112.0,112,4.722724
64.0,64,4.73357
227.0,227,4.771902
52.0,52,5.29153
271.0,271,5.338057
159.0,159,5.365829
187.0,187,5.398846
162.0,162,5.427309
183.0,183,5.459371
245.0,245,5.501292
123.0,123,5.522763
203.0,203,5.556927
197.0,197,5.590235
90.0,90,5.606127
158.0,158,5.633077
117.0,117,6.146331
161.0,161,6.17443
226.0,226,6.213225
175.0,175,6.242949
157.0,157,6.269046
221.0,221,6.306707
242.0,242,6.347706
158.0,158,6.374665
155.0,155,6.40139
252.0,252,6.444362
203.0,203,6.478032
252.0,252,7.025179
475.0,475,7.107376
234.0,234,7.147912
298.0,298,7.198501
236.0,236,7.240557
218.0,218,7.283987
315.0,315,7.342881
362.0,362,7.910742
388.0,388,7.977652
445.0,445,8.055474
336.0,336,8.115731
165.0,165,8.14498
500.0,500,8.797061
284.0,284,8.846172
320.0,320,8.900806
